STATION,NAME,UNITCODE,Year,Month,DATE,EVAP,EVAPMIN,EVAPMAX,PRECIP,SNOW,SNOWDEPTH,TEMPMAX,TEMPMIN,FOG,THUNDER,ICE,HAIL,RIME
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-20,,,,0,0,0,73,50,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-21,,,,0,0,0,78,54,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-22,,,,0,0,0,77,55,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-23,,,,0.45,0,0,72,47,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-24,,,,0.48,0,0,61,48,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-25,,,,0.01,0,0,71,49,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-26,,,,0,0,0,78,50,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-27,,,,0,0,0,81,57,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-28,,,,0,0,0,86,58,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-29,,,,0,0,0,87,59,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-30,,,,0,0,0,89,63,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,5,2015-05-31,,,,0,0,0,93,64,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-01,,,,0,0,0,96,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-02,,,,0,0,0,93,59,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-03,,,,0,0,0,92,62,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-04,,,,0,0,0,90,59,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-05,,,,0,0,0,90,61,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-06,,,,0.27,0,0,80,58,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-07,,,,0,0,0,82,60,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-08,,,,0,0,0,85,62,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-09,,,,0,0,0,94,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-10,,,,0,0,0,91,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-11,,,,0.13,0,0,87,57,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-12,,,,0,0,0,85,63,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-13,,,,0,0,0,90,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-14,,,,0,0,0,97,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-15,,,,0,0,0,98,68,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-16,,,,0,0,0,97,70,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-17,,,,0,0,0,100,67,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-18,,,,0,0,0,100,68,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-19,,,,0,0,0,102,68,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-20,,,,0,0,0,103,70,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-21,,,,0,0,0,105,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-22,,,,0,0,0,103,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-23,,,,0,0,0,101,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-24,,,,0,0,0,104,71,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-25,,,,0,0,0,103,72,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-26,,,,0,0,0,105,72,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-27,,,,0,0,0,110,78,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-28,,,,0,0,0,107,78,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-29,,,,0,0,0,105,77,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,6,2015-06-30,,,,0,0,0,105,72,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-01,,,,0,0,0,104,74,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-02,,,,0,0,0,105,74,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-03,,,,0,0,0,101,75,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-04,,,,0,0,0,102,76,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-05,,,,0,0,0,91,73,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-06,,,,0,0,0,97,73,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-07,,,,0,0,0,90,66,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-08,,,,0.04,0,0,91,69,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-09,,,,0.28,0,0,86,64,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-10,,,,0.04,0,0,91,62,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-11,,,,0,0,0,89,63,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-12,,,,0,0,0,91,65,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-13,,,,0,0,0,97,68,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-14,,,,0,0,0,98,69,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-15,,,,0,0,0,97,72,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-16,,,,0,0,0,97,70,,,,,
USC00429717,"ZION NATIONAL PARK, UT US",ZION,2015,7,2015-07-17,,,,0,0,0,98,71,,,,,
