Region,Type,UnitCode,ParkName,State,Year,Month,Visitors,Camping,OtherLodging,OtherCamping
Northeast,National Park,ACAD,Acadia National Park,ME,2016,10,"412,416","15,489",0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,11,"55,022",0,0,0
Northeast,National Park,ACAD,Acadia National Park,ME,2016,12,"14,111",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,1,193,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,2,227,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,3,366,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,4,"3,840",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,5,"11,267",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,6,"15,031",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,7,"17,078",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,8,"11,406",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,9,"11,905",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,10,0,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,11,"2,026",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2010,12,0,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,1,0,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,2,0,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,3,0,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,4,"2,163",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,5,"17,956",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,6,"21,920",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,7,"25,810",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,8,"55,826",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,9,"44,112",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,10,"38,912",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,11,"13,276",0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2011,12,0,0,0,0
Northeast,National Historical Park,ADAM,Adams National Historical Park,MA,2012,1,0,0,0,0
